isim,alternatif,durum,tur,kategori,yazar,cizer,son_guncelleme,ozet,c_3,bolum,resim
Kılıç Kralının Fantezi Dünyasında Hayatta Kalma Hikayesi,"A Sword King’s Fantasy World Survival Story, Igye Geomwang Saengjongi, Isekai Kenou Seizon-ki, Las flipantes aventuras del rey de la espada en otro mundo, Latna Saga: A Jornada do Rei Espadachim, Otherworldly Sword King's Survival Records, Registros de supervivencia del Rey de la Espada del Otro Mundo, Rey de la espada, Survival Story of a Sword King, Survival Story of a Sword King in a Fantasy World, The Survival Record of the Sword King in Another World, حماسه رثنا: بقای پادشاه شمشیر, การเอาชีวิตรอดของราชาดาบในต่างโลก, 拔剑九亿次, 異世界剣王生存記, 異界剣王生存記, 異界劍王生存記, 이계 검왕 생존기, 이계검왕생존기",Ongoing,Manhwa,"['Aksiyon', 'Büyü', 'Doğaüstü', 'Fantastik', 'Manhwa', 'Sistem']","SOON-Q, YKB","SOON-Q, Studio Khit",2 Mart 2026,"Ryu Hanbin, farklı bir dünyaya yollanmadan hemen önce zorunlu askerliğini bitirmiş normal bir adamdı. Canavarlarla dolu bu dünyada hayatta kalması ve güçlenmesi gerekiyordu ancak ona bu macerada yardımcı olacak kılavuz sistemi hatalarla doluydu.",Finali,279,https://golgebahcesi.com/wp-content/uploads/2025/11/unnamed-2.jpg
Yüce Büyücünün Müfredatı,Archmage Curriculum,Ongoing,Manhwa,[],,,1 Mart 2026,"Yujin adında iyi kalpli ve adil, fakat ürkütücü görünen bir büyücü kaderini belirleyecek bir karar alır: merhum ustasının kızı Jeong Ain’i kanatları altına alacak ve onu bir Yüce Büyücü olarak yetiştirecektir.",,14,https://golgebahcesi.com/wp-content/uploads/2026/01/Kapak_upscayl_1x_upscayl-standard-4x.png
Sichuan Tang Klanının Genç Efendisi,"Becoming the Sacheon Tang's Sword God Level Young Lord, Becoming the Swordmaster Rank Young Lord of the Sichuan Tang Family, Convirtiéndose en el Joven Señor con rango de Maestro de Espadas de la Familia Tang de Sichuan, Convirtiéndose en el Maestro de Espadas de la Familia Tang, He Became the Head of the Four Heavenly Dang Family, He Became the Swordmaster-Rank Young Lord of the Tang Family of Sacheon, Он стал главой семьи Четырех Небесных Дангов, 사천당가의 검신급 소가주가 되었다",Ongoing,Manhwa,"['Aksiyon', 'Dövüş Sanatları', 'Dram', 'Fantastik', 'Tarihsel']","Hwagye PSG [Add, ]",Kim Jong-Seop,1 Mart 2026,"Sichuan Tang Klanının Genç Efendisi:[Becoming the Swordmaster Rank Young Lord of the Sichuan Tang Family]
Bir zamanlar Zehrin ve Gizli Silahların Saygın Hanesi olan Sichuan Tang Ailesi çöküş hâlindedir.",,112,https://golgebahcesi.com/wp-content/uploads/2025/12/Baslksz9_20251012213636.png
Ölümüne Suçlu,,Hiatus,Manhwa,"['Aksiyon', 'Doğaüstü', 'Fantastik', 'Macera', 'Shounen']",Fupin,EunJi,28 Şubat 2026,"Ölümüne Suçlu:[Villian to kill]
Bir meslektaşını öldürmekle suçlandıktan sonra, Cassian Lee ölümün eşiğine geldi.",,203,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/jJCWpcKfP18PjUHvNzOpmbOeARJt2wCV.webp
Kanlı Geri Dönüş,"Reborn on the Demonic Cult Battlefield,Demonic Frontline: The Thirteenth Flying Dragon,13th Generation Flying Dragon of the Demonic Sect",Ongoing,Manhwa,"['Aksiyon', 'Aşırı Güçlü', 'Dövüş Sanatları', 'Fantastik', 'İkinci Şans', 'İntikam', 'Murim', 'Yeniden Doğuş']",신검일,고굼마,28 Şubat 2026,"Bir zamanlar klanın yüz karasıydım, şimdi ise hafızası sonuna kadar güçlendirilmiş, aşırı güçlü bir dövüş sanatları dahisiyim.",,29,https://golgebahcesi.com/wp-content/uploads/2025/10/1762178693496_upscayl_2x_upscayl-standard-4x-kopya-1.png
Dükün Suikastçı Oğlu,,Ongoing,Manhwa,"['Aksiyon', 'Fantastik', 'İntikam', 'Macera']",,,28 Şubat 2026,"The Regressed Son of a Duke is an Assassin
Dük’ün Suikastçi Oğlu",,114,https://golgebahcesi.com/wp-content/uploads/2025/11/oArZlDVJPHcw2eLDj68UIFHd7NyKm76N-kopya.webp
Düşüşten Sonraki Dünya,,Ongoing,Manhwa,[],,,28 Şubat 2026,The World After The End,,168,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/Lnfm9bphvErS19HLk5T9Haur4ultyKrV.webp
Semavî İblisin Yolu,The Great Heavenly Demon Sovereign,Ongoing,Manhwa,[],,,28 Şubat 2026,"On şeytani mezhep güçlerini birleştirip İblis Sarayı’nı, şeytani yolun kutsal diyarını yarattı.",,42,https://golgebahcesi.com/wp-content/uploads/2025/10/1762170799271_waifu2x_photo_noise2_scale-kopya-1.png
Prizmatik Dahi Büyücü,,Ongoing,Manhwa,"['Aksiyon', 'Dahi Mc', 'Fantastik', 'İntikam', 'Macera']",하수,캉캉,28 Şubat 2026,Gecekondu mahallelerinde Ray adında duyguları olmayan genç bir çocuk yaşıyordu.,,64,https://golgebahcesi.com/wp-content/uploads/2025/11/Gemini_Generated_Image_2piv9i2piv9i2piv.jpg
Kötülerin Efendisi,"악당들의 후원자가 되었다,Became the Patron of Villains,Raising Villains the Right Way",Ongoing,Manhwa,[],,,28 Şubat 2026,"Bir şirket kölesiyken, gözümü açtığımda kendimi oyunun içinde soylu bir yan karakter olarak buldum. Tek sorun? Kaderimde, geleceğin baş kötüleri olacak veletlerin elinde feci şekilde ölmek vardı.",,23,https://golgebahcesi.com/wp-content/uploads/2025/10/1762632637961-kopya_upscayl_2x_upscayl-standard-4x.jpg
Gel Beni Al,,Ongoing,Manhwa,"['Aksiyon', 'Fantastik', 'Komedi', 'Macera', 'Sistem']",,,28 Şubat 2026,"Pick Me Up, Infinite Gacha :",,190,https://golgebahcesi.com/wp-content/uploads/2025/10/1763653991953.gif
Asi Leydileri Eğitme Rehberi,,Ongoing,Manhwa,[],,,28 Şubat 2026,"Akademide Hayatta Kalma Yolları`nın yazarından ve
Deli Mühendis ile Sonsuz Döngüde Hapsolan başta olmak üzere birçok eserin stüdyosundan!",,12,https://golgebahcesi.com/wp-content/uploads/2026/01/edrwee.webp
Kızıl Geri Dönüş,,Ongoing,Manhwa,[],,,28 Şubat 2026,"Solo Leveling, Kuduz Hancerin İntikamı ve daha birçok eserin yapımcısı Redice Studio ve Dük Pendragon’un yazarı tarafından sunuluyor!",,32,https://golgebahcesi.com/wp-content/uploads/2025/12/ABS2GSkuf94MBF310z6eO_M4LFDyRTtkqvS4oQRvfMkGAHzsX4Cg7pVIWMawv3SQHExlnP0xBpxTDGy_khkWfiu7cwqvt0KcXtJmEI7leeiNAlklQJA3OOtfRqwhdMG5NbEdGIYwQZZZoKsFaJUEdU2k7FY_0VW2jfmWApEEOCEkwhiE-M0ds1024-rj-kopya.jpg
Tembel Zindan Patronu,"Mr Devourer, Please Act Like a Final Boss",Ongoing,Manhwa,[],LelTree,D&C Webtoon Biz/ WookJakga,27 Şubat 2026,"[Solo Leveling’i Redice stüdyosu ile sizlere sunan stüdyo tarafından!] Zindan baskınları dönemi nihayet geldi. Yedi Büyük Kötü Zindan — fethedilmesi imkansız olduğu düşünülen en güçlü yedi zindan. En kötü şöhretli zindan olan Primordial Core’un derinliklerinde, tüm zamanların en kötü boss canavarı “Devourer” yaşıyor. “Zindan patronunun, insanlar tam önünde durana kadar uyuklaması mantıklı mı?!?!” İnsanların sürekli ziyaretleri nedeniyle, Primordial Core’un kapı eşiği hiç kurumuyor ve Devourer’ın duyduğu sızlanmalar hiç bitmiyor…?! “Ha… Bunu yapmak istemiyorum.”
Makine Çeviri-Edittir.",,115,https://golgebahcesi.com/wp-content/uploads/2025/12/Gemini_Generated_Image_1klasd1klasd1kla.png
Gizlice Kahramandan Daha Güçlü,,Ongoing,Manhwa,[],,,27 Şubat 2026,"Küçük yaşlardan beri, sıradan görünümlü ama eşsiz bir güce sahip olan o “mütevazı kahraman” olmayı hep hayal etmişimdir. Ama bir gün, sekiz tonluk bir kamyonun çarpmasıyla kaderim değişti ve birdenbire reenkarnasyon gündeme geldi! “Bir sonraki hayatında ne olmak istersin?” diye sordu reenkarnasyon tanrıçası. Heyecanla cevap verdim: “Zayıf biri olmak istiyorum, ama gizlice OP!” Tanrıça dileğimi kabul etti, ama beklenmedik bir şartla: Eğer biri gerçek yeteneklerimi ortaya çıkarırsa, kalbim patlayacak! Bu, benim hayal ettiğim “gizlice OP zayıf hayat” değildi…",,106,https://golgebahcesi.com/wp-content/uploads/2025/11/Gemini_Generated_Image_l6i6sal6i6sal6i6-kopya_result.webp
Kutsal İblis Yetişimi,"천마육성 , Heavenly Demon Cultivation , 天魔育成 , Heavenly Demon Cultivation Simulation , Kutsal İblis Yetişimi",Ongoing,Manhwa,"['Aksiyon', 'Dövüş Sanatları', 'İkinci Şans', 'Manhwa', 'Murim', 'Yeniden Doğuş']",,,27 Şubat 2026,"Hua Dağı Mezhebinin bölgesine büyük lider ‘Mantis’ tarafından bir grup izci gönderildi. Kahraman ‘Seol Hwi’ Hua Mezhebinin ustası ‘Goo Jong Myung’la karşılaşır ve ölümle karşı karşıya gelir. Daha sonra bir durum penceresi açılır ve keşif görevi verilmeden önceki zamana dönmesini sağlar. Onu ölüme sürükleyen keşif görevini aldıktan sonra, Seol Hwi kaçınılmaz gerçeği değiştirmek için mücadele eder. Her krizde ortaya çıkan durum penceresi, geleceği belirsiz seçimler yaptırır. Seol Hwi yaptığı seçimler ile en iyi kararı bulmaya çalışırken yaşam ve ölümle yüzleşmek zorundadır.",,164,https://golgebahcesi.com/wp-content/uploads/2025/10/kiy.jpg
Efsanevi Başbüyücünün Dönüşü,,Ongoing,Manhwa,[],,,27 Şubat 2026,"“Yani, ben bir ‘Yapay Zeka uyumsuzu’ muyum?”",,90,https://golgebahcesi.com/wp-content/uploads/2026/01/Gemini_Generated_Image_x341w1x341w1x341_waifu2x_art_scan_noise2_scale_result.webp
Nebula’nın Gezegeni,The Nebula's Civilization,Ongoing,Manhwa,[],,,27 Şubat 2026,"[Akademi’nin Dahi Kılıç Ustası’nı sizlere sunan stüdyodan!] Choi Sungwoon, “Yok Olmuş Dünya” adlı oyunda tüm başarımları başarıyla tamamlayan bir oyuncuydu. Oyunun sıralamalarında bir numarada yer alıyordu. Bu büyük başarıyı elde ettikten sonra, kısa bir süreliğine mutluluk yaşadı. Ancak bu sevincin ardından, şüpheli bir e-posta aldı ve kendini “Yok Olmuş Dünya”nın gerçek bir versiyonunda buldu. Artık bir “tanrı” olma yolunda yarışa başladı.",,116,https://golgebahcesi.com/wp-content/uploads/2025/12/Gemini_Generated_Image_mmv2oemmv2oemmv2.jpg
Son Seviye Çaylak,,Ongoing,Manhwa,"['Aksiyon', 'Fantastik', 'Komedi', 'Macera']",,,27 Şubat 2026,Solo Max-Level Newbie,,246,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/YlB96F4Mduve7OeuDhXm3OMZ0pxR6uV8.webp
Sashimi Bıçağı İle Akademinin Anasını Ağlatıyorum,"Chew the Academy With a Sashimi Stick, Chewed Up the Academy With a Bag of Sashimi, I Took Over the Academy With a Single Sashimi Knife, The Academy's Sashimi Sword Master, Thống Lĩnh Học Viện Chỉ Bằng Dao Sashimi, 사시미 한 자루로 아카데미를 씹어먹음",Ongoing,Manhwa,"['Aksiyon', 'Dram', 'Fantastik', 'Harem', 'Okul Hayatı', 'Seinen']","GMAN, Tang Ahulu",GMAN,27 Şubat 2026,"Sashimi Bıçağı İle Akademinin Anasını Ağlatıyorum
“Kesersem kesilir.”",,68,https://golgebahcesi.com/wp-content/uploads/2025/08/ABS2GSlKi_3YK-2969MXPmWRLUjhJhESoJhwwnSrvC6M1rAJ9VbrXoq03fQm4mq4FJD_Ac9ydanFGc7eMBxHjVE-WZuckXAbeSPkkc3t9kZR9CXMFGtxiN-tO3PWnngX5YHfAWCQeg6ZCx7gctrwkcdorv9wbdYjfezghV7Ulaar7zDv9lns1024-rj-kopya.jpg
Kozmik İlahi İblis 3077,"Cosmic Heavenly Demon 3077, Space Cheon Ma 3077, 宇宙天魔 3077, 우주천마 3077",Ongoing,Manhwa,"['Aksiyon', 'Bilim Kurgu', 'Dövüş Sanatları', 'Fantastik', 'Komedi', 'Shounen']","Noksaek Yeowoo, Sanha",Kim Dae-Young,26 Şubat 2026,"Sayısız yıl sonra, Tai Dağı’nda mühürlenmiş olan Göksel İblis nihayet uyandı ve insanlığın radyasyonla sırılsıklam olmuş Dünya’yı çoktan terk ettiğini, şimdiyse galaksinin uzak noktalarını keşfetmekte olduğunu keşfetti.",,74,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/zRBoZAOzYQLed4Veau0yFMuxaZeGRP42.webp
Göksel İblisin Yolculuğu,"Demonio Celestial de la Reencarnación, Líder de la Alianza, Rebirth of the Heavenly Demon, Rebirth, Heavenly Demon, Reborn as the Heavenly Demon, Reborn Heavenly Demon, Reincarnated Heavenly Demon, Reincarnation of the Heavenly Demon, Renacido como el demonio, 転生天魔, 轮回天魔, 還生天魔, 환생천마",Ongoing,Manhwa,"['Aksiyon', 'Dövüş Sanatları', 'Dram', 'Fantastik', 'Shounen', 'Tarihsel']","Jang Yeonghun, JP",Boogyeom,26 Şubat 2026,"Tian Hejin, halk arasında “Demir İradeli İttifak Lideri” olarak bilinirken, bir sabah ailesinin utanç kaynağı olan “Bi Liduan”ın bedeninde uyanır! Kumar oynamak en büyük hobisidir ve uzun süredir karanlık bir depoda kilitli tutulmaktadır. Bir gecede, Jianghu’nun en büyük ustasıyken en değersiz ve işe yaramaz kişisine dönüşür.",,109,https://golgebahcesi.com/wp-content/uploads/2025/08/rhdddd1_waifu2x_art_scan_noise2_scale.png
Sichuan Tang Klanının Böcek Bilimcisi,"A Poison Master in the Sichuan Tang Clan, El maestro del veneno del Clan Tang Sichuan, Fabre in Sacheon Tang Clan, Fabre in Sacheondangga, The Poison Master of Sacheon Tang Clan, 파브르 in 사천당가",Ongoing,Manhwa,"['Aksiyon', 'Dövüş Sanatları', 'Fantastik', 'Komedi', 'Shounen']","Erhut, Jidaegong Mabeobsonyeon",Kraken,26 Şubat 2026,"Bir milyondan fazla abonesi olan, zehir ve zehirli böcekler konusunda uzman olarak ün yapmış popüler yayıncı Karınca Çiftliğim, kaderin beklenmedik cilvesiyle karşı karşıya kaldı. Afrika’da yerel çekim sırasında, bir kara mamba tarafından ısırılınca hayata gözlerini yumdu ve dövüş sanatları dünyasında uyandı.",,70,https://golgebahcesi.com/wp-content/uploads/2025/07/1-thumbnail_IMAG21_aad66c46-90fc-4d2d-8cb9-46fc0ff0abc2.jpg
Kuduz Hançerin İntikamı,,Ongoing,Manhwa,"['Aksiyon', 'Doğaüstü', 'Dövüş Sanatları', 'Fantastik', 'İntikam', 'Macera']",,,26 Şubat 2026,Baskervillelerin köpeği: Vikir.,,151,https://golgebahcesi.com/wp-content/uploads/2025/08/1-01J7TV2G7719CVSTSW9T9M6F31-thumb-small-kopya_waifu2x_art_scan_noise2_scale.png
Akademide Hayatta Kalma Yolları,"Academy-eseo Saranamgi, How to Survive at the Academy, Hướng Dẫn Sinh Tồn Trong Học Viện, Surviving the Academy, モブ悪役がアカデミーで生き残るには, 三流反派的學院生存記, 아카데미에서 살아남기",Ongoing,Manhwa,"['Aksiyon', 'Doğaüstü', 'Dram', 'Harem', 'Macera', 'Romantizm', 'Seinen']",Corita,Geulingilin,2 Mart 2026,En sevdiğim oyundaki gereksiz kötü karakterin bedenine girdim. Tek arzum sessiz sakin bir hayat sürmekti ama bu dünyada yaşamak amma da zormuş! Hayatta kalabilmek için ne gerekiyorsa yapmalıyım. Başkarakter kendi yolunda ilerlerken ben de “gereksiz kötü adamın yoluyla” oyunun sonuna ulaşacağım!,,94,https://golgebahcesi.com/wp-content/uploads/2024/12/akademi2_upscayl_2x_upscayl-standard-4x_result.jpg
Düşmüş Krallığın Üçüncü Prensi Geri Döndü,,Ongoing,Manhwa,"['Aksiyon', 'Fantastik', 'Gerileme', 'Macera']",,,23 Şubat 2026,Yetenek Yutan Büyücü Manhwasının Stüdyosundan.,,58,https://golgebahcesi.com/wp-content/uploads/2025/10/1762172029337-kopya.jpg
Yedek Oyuncu,Tôi Đã Giết Tuyển Thủ Học Viện ไอ้เพลเยอร์นั่น ฉันฆ่ามันเอง アカデミーの主人公を殺した アカデミープレイヤーを殺した 我殺了學院玩家 아카데미 플레이어를 죽였다,Ongoing,Manhwa,"['Aksiyon', 'Fantastik', 'Harem', 'Komedi', 'Macera']",Salamsallyeo,Greenkyrin,23 Şubat 2026,Yalayıp yuttuğum “Arshan’ın Kahramanlık Efsanesi” oyununda yan karakter oldum ama ana karakter beklediğim gibi çıkmadı.,,110,https://golgebahcesi.com/wp-content/uploads/2025/10/1762178693496_upscayl_2x_upscayl-standard-4x-kopya.png
Zindan Yolculuğu,Dungeon Odyssey,Ongoing,Manhwa,[],,,23 Şubat 2026,Zindan Yolculuğu,,146,https://golgebahcesi.com/wp-content/uploads/2026/02/ee_upscayl_2x_upscayl-standard-4x_result.webp
Tren Rayında Kalp Kayışta,My Bias Gets on the Last Train,Ongoing,Manhwa,[],,,23 Şubat 2026,"Üniversite öğrencisi Lee Yeoun, her gece geç saatlere kadar çalışıp son trene binmek zorunda kalır.  Fakat bu rutin, yalnızca yorgunluk değil, aynı zamanda kalp çarpıntısıyla da doludur.  Çünkü her seferinde, gitarını sırtlamış gizemli bir kadın olan Shin Haein’le karşılaşır.  Tesadüf mü, kader mi bilinmez; ama bu iki yabancı, aynı indie müzisyeni — “Long Afternoon” — sevdiklerini keşfettiklerinde, aralarındaki mesafe yavaş yavaş kapanmaya başlar.  Her gece raylar aynı, ama kalplerin yönü değişiyor.  Bu hikâye, sessiz bakışların, ortak şarkıların ve son trenin içinde filizlenen bir aşkın öyküsüdür.",,66,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/mnzmWNDxXfZQ727T1wZrjLTY4oKd8vHS.webp
